 evals    EllipsoidProblem vlaue
 3000  1333096.319297993090004
 6000  173985.441011166723911
 9000  40677.736680071786395
12000  16279.707413551057471
15000  6617.023354692236353
18000  3065.501587804160408
21000  1632.945452728156852
24000  1060.938066386245964
27000  567.821990001730455
30000  343.833630618735185
33000  210.170162917897812
36000  105.543631050557082
39000  35.089829590109410
42000  20.814991840441923
45000  4.660873624470144
48000  0.064363750531273
51000  0.001002492727392
54000  0.000111369115387
57000  0.000019823925210
60000  0.000000696549884
63000  0.000000000026229
65250  0.000000000000007
