seed	12026023	poultation_size	100	mean	3.0	sigma	40.0
evals	EllipsoidProblem vlaue
    1	3175600654.396100997924805
 1000	807814446.433424234390259
 2000	213505246.679079115390778
 3000	286886275.274139225482941
 4000	158428685.359095871448517
 5000	66431938.698058471083641
 6000	68909161.199752986431122
 7000	31354814.237917307764292
 8000	5941645.271143686026335
 9000	4607306.775513029657304
10000	3073656.872688636183739
11000	1022207.097585147363134
12000	841853.527086025686003
13000	871348.959525582613423
14000	1238932.485091565875337
15000	936534.323400514665991
16000	482384.907483352522831
17000	357106.493485158600379
18000	296605.737429096712731
19000	159022.291757012106245
20000	129684.095523116819095
21000	124297.037800957463332
22000	64292.276683420815971
23000	52241.339025225301157
24000	43237.540633044292917
25000	47568.244492974299646
26000	49086.753904667508323
27000	29333.197818195647415
28000	24979.331043126629083
29000	26124.237003763853863
30000	20322.548204803202680
31000	27337.345812421539449
32000	18187.808597476323484
33000	14187.792314422968047
34000	8302.352890733725872
35000	4759.567048959250315
36000	3566.087958978651386
37000	2880.897001229868692
38000	2191.998734180072915
39000	1906.595499463063788
40000	1427.032700115086982
41000	1199.537413172942934
42000	1259.008388189445895
43000	1925.338959749850574
44000	687.530225490909288
45000	490.363213941057438
46000	186.616474697570538
47000	120.256164568726248
48000	114.026744885378562
49000	50.998876488216787
50000	66.741810970852001
51000	23.919838525071199
52000	23.939276360909247
53000	8.299108963147384
54000	6.605561425223598
55000	3.884789147720614
56000	1.035110995581630
57000	0.404607164119144
58000	0.127615588094099
59000	0.062524316378501
60000	0.024664994866692
61000	0.005680024750020
62000	0.003844657472265
63000	0.001518473497008
64000	0.000229588505665
65000	0.000110571496134
66000	0.000032787116680
67000	0.000007985254301
68000	0.000001422886576
69000	0.000000426049145
70000	0.000000173940933
71000	0.000000080583655
72000	0.000000019897292
73000	0.000000003064524
74000	0.000000000463438
75000	0.000000000149510
76000	0.000000000040676
77000	0.000000000019446
78000	0.000000000004804
79000	0.000000000001171
80000	0.000000000000316
81000	0.000000000000072
81500	0.000000000000059
last result:	(1.3568248015325485e-08,1.543317283237798e-08,3.196326194207785e-08,8.688074103555045e-09,2.4183026815839237e-09,-5.055067674577706e-08,-1.341851808882607e-09,1.626637266263331e-09,-7.078392579520517e-10,8.671125050719015e-09,-3.866765587038499e-09,4.901972909958412e-09,-3.0767369600276224e-09,-9.353237010699747e-09,-7.14753337187577e-10,3.933483698488147e-09,1.256685879175349e-09,1.7243118758823717e-09,8.969704122481674e-10,-1.5227184703081247e-09,7.867952683253121e-11,-9.549426888211644e-10,7.731039199416472e-10,-2.039101552299675e-10,-1.021337672466568e-10,2.580523773698211e-10,3.449432577950619e-10,-1.6514469452561498e-10,1.7754178443320902e-10,2.5988397714037426e-10,-2.408133859012255e-10,-2.4319414253724444e-10,5.021602563003326e-11,8.380201956755723e-11,1.3020432584121708e-10,2.844202708846288e-11,1.926190233250787e-11,-6.252318472273962e-11,1.5558038557627926e-11,-1.6920510681274782e-11)
