seed	12026025	poultation_size	100	mean	2.159747755938216e-08	sigma	40.0
evals	EllipsoidProblem vlaue
    1	5676113945.123823165893555
 1000	1701635075.552407979965210
 2000	1317197824.529416799545288
 3000	798331623.232930779457092
 4000	755467878.235163688659668
 5000	329847806.961750328540802
 6000	222692910.018921077251434
 7000	166252181.498015135526657
 8000	33825575.101738736033440
 9000	19200767.979701314121485
10000	15057327.353876724839211
11000	15875503.439559673890471
12000	5819251.424591433256865
13000	5506498.375801107846200
14000	3168922.768252331763506
15000	2604994.975434290710837
16000	1843241.662888390710577
17000	997344.050343233393505
18000	1228750.413203123491257
19000	1097275.727704569697380
20000	641825.827514119213447
21000	567274.277966615860350
22000	385673.162883296376094
23000	413960.433478843769990
24000	470794.076136960997246
25000	492947.255903183016926
26000	194460.900955878547393
27000	87251.456483079906320
28000	70236.076294996135402
29000	47068.667495174791839
30000	37603.320696645590942
31000	46091.493655867154303
32000	29623.797165235057037
33000	16033.651912504745269
34000	23283.685814748710982
35000	18127.014571937743312
36000	21895.943614850322774
37000	8081.718901080583237
38000	5681.428791786881447
39000	6021.497015678563912
40000	3670.047499321397027
41000	2390.112345092181840
42000	1747.867210168051542
43000	1367.837168221114780
44000	1160.402049008733229
45000	1128.443504990152178
46000	1271.330412748676281
47000	1127.220574422922937
48000	973.667470629347463
49000	556.443134893535785
50000	543.329577701847029
51000	450.877404607483356
52000	389.426836377679763
53000	330.233064914945601
54000	230.090389499347680
55000	194.283066739344775
56000	193.517382989038339
57000	155.850656798538154
58000	164.563412934562479
59000	118.560414700296491
60000	125.269431304712555
61000	59.123932096480033
62000	48.587885509606245
63000	25.550710874133106
64000	17.367782987396197
65000	12.384513109251976
66000	2.937960192290447
67000	1.237820256512670
68000	0.686553007709540
69000	0.481381050844262
70000	0.170092750564527
71000	0.228580273500861
72000	0.129870288762295
73000	0.040651148527626
74000	0.021910243315452
75000	0.011281134683576
76000	0.006721824703796
77000	0.002953432514968
78000	0.001427872028196
79000	0.000331702535100
80000	0.000423596069492
81000	0.000274032929903
82000	0.000110178688889
83000	0.000036173568677
84000	0.000015587640679
85000	0.000007056574874
86000	0.000003672927224
87000	0.000002386659605
88000	0.000000911513286
89000	0.000000426543664
90000	0.000000188346294
91000	0.000000118854670
92000	0.000000060025110
93000	0.000000013716207
94000	0.000000007654868
95000	0.000000001893531
96000	0.000000000788617
97000	0.000000000341645
98000	0.000000000246471
99000	0.000000000129383
100000	0.000000000085641
101000	0.000000000049560
102000	0.000000000016174
103000	0.000000000007823
104000	0.000000000002075
105000	0.000000000000710
106000	0.000000000000378
107000	0.000000000000163
107700	0.000000000000069
last result:	(6.780794128984878e-08,-4.3340838835489985e-08,6.516508069067313e-09,2.2839585203161208e-09,4.267979658746197e-09,3.022082544223809e-08,1.0563190631686139e-08,-3.812881210523694e-09,-7.0423177267111085e-09,9.984057034614528e-09,1.5813925615888327e-09,6.561360550710944e-10,-1.2525267861223216e-09,-7.342640771527852e-09,1.5136431661820916e-09,-2.2348891497427978e-09,1.1990193377161403e-09,-1.4892284773545381e-09,2.4158546259735328e-09,-1.9379530320870325e-09,-1.4686759946152547e-09,9.967288078413787e-10,2.545073555546072e-10,-9.450463897401278e-10,-1.2070980603936877e-09,-6.958678378964713e-10,4.674600142949016e-11,-1.288511882088049e-10,-1.3913931610371024e-10,2.8239115266157315e-10,-8.426940996922714e-11,-1.5395026708832407e-10,1.1057656447670838e-10,-3.834274021789068e-11,-5.256959481982289e-11,1.0407427677047022e-10,-1.2545163308866706e-10,2.4948681264082596e-12,2.7814287583681577e-11,6.364579178172345e-11)
