seed	12026022	poultation_size	100	mean	-5.481612015989441e-09	sigma	40.0
evals	EllipsoidProblem vlaue
    1	2954131460.011996746063232
 1000	1050323578.893347382545471
 2000	1437339051.626970291137695
 3000	644191785.369709968566895
 4000	200500236.119813323020935
 5000	127432075.676285564899445
 6000	65718099.015139974653721
 7000	15208289.175726208835840
 8000	8952913.354927267879248
 9000	4520019.735264159739017
10000	2988823.784405068494380
11000	1952110.134647795232013
12000	2361415.187198153696954
13000	1382245.810017880983651
14000	1077560.877446890808642
15000	1113961.798402356449515
16000	372029.735628448310308
17000	330300.991323179739993
18000	216659.435711564728990
19000	180528.535718316881685
20000	156188.657765422423836
21000	110627.466279821208445
22000	99922.187675776178367
23000	75572.143525297375163
24000	129199.216075727992575
25000	45359.727863564417930
26000	30411.694810657656490
27000	25814.935118327968667
28000	21293.378353676660481
29000	18174.492032927344553
30000	15018.880439617349111
31000	14202.662143411936995
32000	16079.464630808668517
33000	12462.799885484400875
34000	10842.305517399869132
35000	8328.592576589489909
36000	7526.842705754807866
37000	6038.271482643684067
38000	5027.696896388296409
39000	4801.050042571788254
40000	4651.158349998649101
41000	3305.599086976480066
42000	1966.595865865391488
43000	1848.648195876948876
44000	1370.620178037204141
45000	1369.635321880469064
46000	1189.222608666241285
47000	1176.226207301134991
48000	1083.305381674490945
49000	963.930531997987600
50000	798.344619543162139
51000	737.863245423785429
52000	760.102170711417671
53000	671.073945559948015
54000	456.446212997405894
55000	479.019986550253861
56000	414.738379876011379
57000	351.624665077604107
58000	211.196366673663505
59000	168.123766416784150
60000	163.533629704510560
61000	130.432976527016990
62000	66.385355088748540
63000	39.792041139231728
64000	18.727098241548546
65000	11.603618548235735
66000	11.763818245351814
67000	7.695243804485219
68000	3.099889970901190
69000	2.412119813721845
70000	0.872814638231051
71000	0.623957271184205
72000	0.581929735830237
73000	0.134341420477234
74000	0.034614817777619
75000	0.011950759878185
76000	0.004954672726987
77000	0.003583275337106
78000	0.001225417852928
79000	0.000400853812656
80000	0.000248251895674
81000	0.000086614671869
82000	0.000029166213634
83000	0.000009528310156
84000	0.000007911469467
85000	0.000001390158778
86000	0.000000377306737
87000	0.000000091345337
88000	0.000000035918030
89000	0.000000007345464
90000	0.000000001248042
91000	0.000000001057427
92000	0.000000000395198
93000	0.000000000070493
94000	0.000000000032142
95000	0.000000000008631
96000	0.000000000003767
97000	0.000000000000681
98000	0.000000000000316
99000	0.000000000000095
99600	0.000000000000041
last result:	(-4.840162428499048e-08,-1.8232552528565332e-08,-7.854725450247541e-09,-2.405925854243507e-08,2.2271128064640333e-08,9.72543484572322e-09,5.013579868033024e-09,-2.3950115295693503e-09,6.616316549282586e-09,5.171115483947686e-11,-1.8876387631291252e-10,-4.9165071136512416e-09,-2.1821804144992558e-09,4.04983790992347e-09,-4.709986330653539e-09,-1.7969475437109836e-09,-1.1777954713187791e-09,-9.619503325341567e-10,-6.940515822575261e-10,1.8535864525867506e-09,8.321694316170359e-10,-1.3840406953125421e-09,4.928815460191919e-10,-3.4369721735348395e-10,2.647447197515507e-10,5.682457009340447e-11,-2.6794930484500517e-10,2.5858333871529663e-10,3.0428984231580183e-10,3.705946213509535e-10,-9.349214151042753e-11,-1.959445412561308e-12,8.700318768242775e-11,2.660256126502545e-12,1.768342594966747e-10,8.225281011475715e-11,1.34281095640223e-11,4.798140147607596e-12,-4.988545430974171e-13,-2.3045485130621582e-11)
