seed	12026029	poultation_size	100	mean	3.0	sigma	40.0
evals	EllipsoidProblem vlaue
    1	13401765153.684253692626953
 1000	1181544091.931239604949951
 2000	561149681.326548457145691
 3000	184974429.110579192638397
 4000	54640441.648369468748569
 5000	74031388.157256677746773
 6000	16099475.895745079964399
 7000	8693501.106856299564242
 8000	8438314.411662157624960
 9000	5282100.646958644501865
10000	2484438.978822462726384
11000	1297906.759315936593339
12000	1351007.438371054362506
13000	695618.302428049501032
14000	715593.314908344764262
15000	448050.231703525874764
16000	485370.772788818343543
17000	283135.051466118544340
18000	380477.175759107980411
19000	258873.598133548977785
20000	206825.904624687565956
21000	171980.069085017370526
22000	105346.164603334284038
23000	115156.183358953436255
24000	81069.460995822140831
25000	66014.203529442311265
26000	60287.226297461740614
27000	58706.556304052166524
28000	48268.411538327127346
29000	31068.174127469101222
30000	31649.268276867445820
31000	28328.237463668927376
32000	34565.411347911009216
33000	18304.898077819070750
34000	18297.550282929754758
35000	17607.887769592023687
36000	13449.586691683171011
37000	12086.457809206962338
38000	10571.987154180045763
39000	8526.157815741005834
40000	6823.741955923667774
41000	6097.403879336324280
42000	3905.196441033761857
43000	3136.778957301936771
44000	2916.825266355185249
45000	2925.706300423004905
46000	2158.781503651657658
47000	1870.785251957651781
48000	1570.859676836932067
49000	1878.533511864190586
50000	1070.119022733752900
51000	999.121701054708865
52000	949.446283581030571
53000	735.572097649463785
54000	614.629549744082283
55000	464.440120246901756
56000	533.252746905206550
57000	447.979925121430256
58000	290.442113704348913
59000	301.528801306241576
60000	178.677795333039398
61000	112.134633722957219
62000	104.998599397043634
63000	62.939349362100188
64000	39.291596266767726
65000	37.378644397164386
66000	18.137345112277547
67000	7.896028320782051
68000	4.412155560324820
69000	2.935446411310624
70000	1.002522816455652
71000	0.587071471228379
72000	0.302781676347367
73000	0.150432021992173
74000	0.066153537614764
75000	0.017804872320688
76000	0.008555714223539
77000	0.002848165798588
78000	0.000998024101533
79000	0.000350125260940
80000	0.000139253771239
81000	0.000053429286757
82000	0.000016702506316
83000	0.000005933029739
84000	0.000001547134347
85000	0.000000304288193
86000	0.000000115172441
87000	0.000000039790874
88000	0.000000017665238
89000	0.000000009552774
90000	0.000000002217662
91000	0.000000000624306
92000	0.000000000287796
93000	0.000000000085196
94000	0.000000000025143
95000	0.000000000006419
96000	0.000000000001517
97000	0.000000000000524
98000	0.000000000000124
98800	0.000000000000057
last result:	(7.254925400797335e-08,-3.1411412043000476e-08,1.491617340129716e-09,-1.5424063910695368e-08,-2.35897673739576e-08,1.1282089881306704e-08,3.093750839515096e-09,-7.758395295550276e-09,-6.2449667204734845e-09,3.713701875857043e-09,-1.3474591999564282e-10,-5.3090845587095015e-09,8.881311559508894e-09,2.3264964840716198e-09,-3.926245702645088e-09,-2.185060125287004e-09,7.016549165298756e-10,-4.2496146196297367e-10,3.403004027235416e-09,1.8218567319122152e-09,-7.427533928159033e-11,-7.732540553450195e-10,6.927793658196224e-10,5.46124672860713e-10,6.767765323101672e-10,-4.2630756671377064e-10,-1.8100288489068542e-10,1.9476892603300593e-10,-2.867127247534229e-10,-4.760590340308169e-10,1.3658493271328088e-10,-6.322033638409786e-11,-1.2894939164799349e-10,7.747691992754353e-11,3.694062070761408e-11,-1.37754081076393e-10,-1.0119024750771632e-11,-3.94924158085457e-11,-1.6438266999773328e-11,-7.647031463508038e-12)
