seed	12026030	poultation_size	100	mean	4.169332798796507e-09	sigma	40.0
evals	EllipsoidProblem vlaue
    1	3274748128.890400886535645
 1000	663797674.651221275329590
 2000	446705895.649256169795990
 3000	246692812.786605745553970
 4000	63719492.937182821333408
 5000	38064578.147286996245384
 6000	50618129.540245898067951
 7000	21096076.429178025573492
 8000	5773123.715838167816401
 9000	4013492.550787542946637
10000	4217903.272578636184335
11000	2018388.010779523523524
12000	688614.750318198581226
13000	614268.613133252598345
14000	554349.576068098773248
15000	589758.444317075656727
16000	489500.608810541802086
17000	326855.251752386568114
18000	238623.808344138349639
19000	251629.250709671818186
20000	197281.657309571863152
21000	125753.967069116159109
22000	95378.794876750413096
23000	90876.210757209977601
24000	74260.594640602983418
25000	65108.616026110015810
26000	63522.015743423646200
27000	65018.103489084416651
28000	52138.205509319450357
29000	39704.334846453981299
30000	42336.419721916885464
31000	22301.119229875988822
32000	16686.009204308527842
33000	17033.596175388851407
34000	13919.197245168985319
35000	12782.037089253584782
36000	10409.241658797487617
37000	11363.563607063706513
38000	9604.044962248181037
39000	8637.874192533936366
40000	6809.125410917446061
41000	6403.869092867075778
42000	6854.650292778512267
43000	6215.920028982227450
44000	4850.987379228776263
45000	2606.592285832095058
46000	2591.340101917731317
47000	2033.368251211231154
48000	1178.744389920956110
49000	1200.669044690497003
50000	793.638277900885328
51000	829.139964994980573
52000	517.918071768922459
53000	321.363007228882054
54000	280.217169033799507
55000	175.699155449573652
56000	113.483703659089201
57000	45.644001279972834
58000	27.760051276520315
59000	11.742970571185376
60000	8.317928066807616
61000	8.478889507102959
62000	6.559637413943102
63000	3.379366088160917
64000	3.134934386146849
65000	2.076831666331648
66000	1.392429402251010
67000	0.940212910057464
68000	0.773873214240047
69000	0.483027530361233
70000	0.189077538900686
71000	0.134628899712606
72000	0.081076280244593
73000	0.048948727655765
74000	0.019753200298537
75000	0.007973207805211
76000	0.004840625375692
77000	0.001485890401907
78000	0.000993093435112
79000	0.000165693367798
80000	0.000053191918590
81000	0.000024385091343
82000	0.000006443981799
83000	0.000001449471359
84000	0.000000585609836
85000	0.000000205650460
86000	0.000000098939107
87000	0.000000032251854
88000	0.000000006477104
89000	0.000000002363753
90000	0.000000000956537
91000	0.000000000150730
92000	0.000000000053540
93000	0.000000000020799
94000	0.000000000004484
95000	0.000000000001646
96000	0.000000000000624
97000	0.000000000000202
97900	0.000000000000044
last result:	(3.0140553555451634e-08,3.3076913390834383e-08,5.689790292728645e-09,3.142149242730083e-08,9.557542923570123e-09,6.871170058519411e-09,-1.2794607702111305e-08,2.8369724403536202e-09,4.3018671615482545e-09,-4.21450415075373e-10,-7.526614000916564e-09,-8.581982552776945e-09,5.4394779707532875e-09,5.2001349645467456e-09,1.761590204705893e-09,-4.32214831124733e-09,2.338949542287651e-10,2.4113393364914034e-09,-8.897393921372745e-10,-5.718880259025262e-10,7.978695792045714e-10,2.9128430363495657e-10,-2.7492301892549815e-10,-6.426415017245814e-10,3.427357949640786e-10,-2.6141025555995384e-11,-1.0262393802306933e-10,-4.4010602095805056e-10,-2.6306689416440254e-10,-1.2974100020225255e-10,-8.344742691380786e-11,-1.5909231549616205e-11,-1.2945625447494243e-10,-6.66576114384221e-11,-1.2913645653791196e-10,-5.409969963383818e-11,1.0561292203254315e-10,2.3468068032241323e-11,2.302104863228255e-11,1.920778926716658e-14)
