seed	12026023	poultation_size	100	mean	3.0	sigma	40.0
evals	GriewankProblem vlaue
    1	23.492724374218231
 1000	3.683332417217741
 2000	1.685515028606357
 3000	1.278447335365515
 4000	1.059829210513728
 5000	1.033703146692869
 6000	0.960271028911507
 7000	0.683760836540170
 8000	0.223767618914171
 9000	0.125992169212970
10000	0.028346146422451
11000	0.007020725876226
12000	0.002371888483894
13000	0.001400595876207
14000	0.000492871436438
15000	0.000271345156957
16000	0.000053618647834
17000	0.000016588369424
18000	0.000006639227063
19000	0.000002303749851
20000	0.000000512139857
21000	0.000000133130546
22000	0.000000040225660
23000	0.000000015625680
24000	0.000000005902089
25000	0.000000001242522
26000	0.000000000518800
27000	0.000000000097749
28000	0.000000000026470
29000	0.000000000014335
30000	0.000000000003405
31000	0.000000000000895
32000	0.000000000000307
33000	0.000000000000105
33600	0.000000000000047
last result:	(-1.8510306427389767e-08,7.05958827817509e-08,1.625581868401442e-07,7.760321415765883e-08,8.554812714298089e-08,9.486103711689422e-08,-9.091818641534248e-08,-1.2506563148229397e-07,1.1029546479265489e-07,1.232944160822615e-07,5.467999089797203e-08,2.2967171071799642e-08,-2.4608570021966065e-07,1.8901810373191326e-07,-3.1197053900401395e-08,1.5646803959419187e-07,1.7438557398880143e-07,-3.048528082685044e-07,-1.875298273069749e-07,1.1229598388575751e-07,-1.2680313147222703e-07,8.661082178502153e-08,5.265440514662795e-07,-4.792531015341644e-08,9.698717634018873e-08,-6.623699835926798e-08,-3.773342156245046e-07,-5.736978188239497e-08,-6.399950600294596e-07,3.270286210604777e-07,2.422175302853556e-07,1.8653086295732709e-07,-8.846819280124071e-08,-3.5947552985477183e-07,-1.756642875901897e-07,-1.9304181657185795e-07,-2.375792955797049e-07,1.1400482427324962e-07,3.6607159145609463e-07,9.427855974579996e-09)
