seed	12026026	poultation_size	100	mean	1.4185784252259552e-08	sigma	40.0
evals	GriewankProblem vlaue
    1	9.916507939519686
 1000	4.616825826548145
 2000	2.251093567794907
 3000	1.331424800323482
 4000	1.072791154244249
 5000	1.025901958645984
 6000	1.040446560481299
 7000	0.817816977208843
 8000	0.286848124468254
 9000	0.123739205970748
10000	0.072168463597115
11000	0.012785000782370
12000	0.007049653985518
13000	0.002124198345586
14000	0.000362266680564
15000	0.000196024696109
16000	0.000040911578085
17000	0.000018112966053
18000	0.000006842806395
19000	0.000002595568944
20000	0.000000405469391
21000	0.000000224008532
22000	0.000000047713615
23000	0.000000017724604
24000	0.000000006150904
25000	0.000000002330847
26000	0.000000000454031
27000	0.000000000210436
28000	0.000000000061512
29000	0.000000000018670
30000	0.000000000005557
31000	0.000000000002148
32000	0.000000000000586
33000	0.000000000000228
34000	0.000000000000042
34400	0.000000000000020
last result:	(-2.257667953515993e-08,1.3176730375853562e-08,1.0773718684156215e-07,-9.641069802053384e-08,5.3614673296468466e-08,-3.106866668409639e-08,-4.004145822658545e-08,-6.943858946089689e-08,-5.8936227396946376e-09,-2.3523330969811502e-08,-2.1498193589073674e-07,2.3839800905374733e-08,6.67051785022201e-08,1.8810361237270916e-08,4.898161657865538e-08,2.462942556226048e-07,9.930279439287954e-08,-1.4564156931722985e-07,-2.4994453226835455e-07,9.780300135730611e-08,4.5546098320550164e-08,1.951414195891902e-07,1.3905451342324402e-07,3.859445789742696e-08,-1.4511164777378826e-07,6.65748636049818e-08,9.983225805777827e-08,-1.3814734284432755e-07,3.5704421353276155e-07,1.1066425688861636e-09,-3.778039273906686e-08,1.1494022788843624e-08,3.9707456658345505e-08,-8.335952572271527e-08,9.169464823234068e-08,-4.451600239716869e-07,-3.1749403764517414e-08,8.487274785935392e-09,1.2784518745645884e-07,1.3765343419903435e-07)
