seed	12026025	poultation_size	100	mean	3.0	sigma	40.0
evals	GriewankProblem vlaue
    1	14.726184452784368
 1000	3.945812037048106
 2000	2.516271792867811
 3000	1.501727251064251
 4000	1.137183861299349
 5000	1.037150915175389
 6000	0.968342775504704
 7000	0.594328683695881
 8000	0.236725574498056
 9000	0.124782401479452
10000	0.042795697589692
11000	0.018306249229352
12000	0.006090921185223
13000	0.003051507263239
14000	0.000814577022625
15000	0.000510579638242
16000	0.000118057054465
17000	0.000017564343771
18000	0.000008993109602
19000	0.000004150675957
20000	0.000000879124117
21000	0.000000265798386
22000	0.000000099634127
23000	0.000000022424501
24000	0.000000006686156
25000	0.000000004499330
26000	0.000000000898073
27000	0.000000000228755
28000	0.000000000043650
29000	0.000000000015889
30000	0.000000000005574
31000	0.000000000002153
32000	0.000000000000719
33000	0.000000000000090
34000	0.000000000000048
34100	0.000000000000051
last result:	(-7.723345468882497e-08,-2.9303150381437398e-08,-2.2078279151433e-07,2.2671150984851597e-08,1.6835209162300743e-07,1.9902410205393905e-07,2.021225258396678e-07,-2.77717861097674e-07,-1.455144237681634e-07,2.0535778221799556e-09,5.214653843795662e-08,-1.8985219135735595e-07,-6.180159407988897e-08,4.0238014642027973e-07,1.4211950549430594e-07,-5.2713585158588266e-08,2.5255725012614206e-07,-4.556069182458567e-08,-4.04965452558995e-08,2.207599758406038e-08,-4.718746715280695e-08,-3.4009531661462324e-07,2.5575706277723404e-07,-1.375347889187786e-07,9.869465931242285e-08,1.6155670129861098e-07,-2.1533058342801894e-07,9.688440168113298e-08,8.143463293566635e-08,4.687465021052523e-07,2.0899365503492718e-07,-2.3810857472470076e-07,-5.7945135782504846e-08,-2.0438612480579852e-07,1.7709985090023596e-07,-9.627634485626779e-08,1.3884865716392443e-07,-1.8741214389073344e-07,1.6123785549901163e-07,-8.914262973903998e-08)
