seed	12026023	poultation_size	100	mean	0.9949586377184366	sigma	40.0
evals	RastrginProblem vlaue
    1	90686.768295962770935
 1000	15522.502812564789565
 2000	3431.436366768893095
 3000	1759.114757333280522
 4000	677.715445702175543
 5000	559.056006311916349
 6000	495.088443024647574
 7000	517.921102351110108
 8000	489.945474732931984
 9000	392.154912525830241
10000	406.006552834583374
11000	434.065310834112097
12000	455.409427553060254
13000	410.050865385401664
14000	499.724865628856378
15000	395.860567172331514
16000	385.396668682015786
17000	445.411515766408002
18000	412.572160208830041
19000	458.909317715413351
20000	452.818780988685376
21000	419.808801627855871
22000	404.637578678800537
23000	424.925579442892456
24000	382.239420372495488
25000	458.335993932386828
26000	372.992814074464832
27000	453.126020440472303
28000	256.555222130654101
29000	267.326728121498945
30000	93.835840681574098
31000	38.795967531406347
32000	16.622852733932341
33000	11.899124883631497
34000	9.170100837487109
35000	7.668505342567801
36000	7.165202603971307
37000	7.025003688395353
38000	6.981113014952470
39000	6.971595871046688
40000	6.965857140624669
41000	6.964978701861279
42000	6.964852743382611
43000	6.964754382801024
44000	6.964718972878613
45000	6.964717163721584
46000	6.964714360575057
47000	6.964713554425774
48000	6.964713477012094
49000	6.964713416311989
50000	6.964713412580121
51000	6.964713403234674
52000	6.964713400581230
53000	6.964713399820369
54000	6.964713399708362
55000	6.964713399679711
56000	6.964713399657683
57000	6.964713399654627
58000	6.964713399653361
59000	6.964713399653142
59800	6.964713399653094
last result:	(2.1834254423249865e-09,0.9949586367863452,1.110555470426645e-09,-1.1730798113940806e-09,-1.7100614525542223e-09,-0.9949586369137368,-1.8883159341741178e-09,-6.751054245182872e-11,-3.1353968174503945e-09,3.501919453387248e-10,5.386245952010717e-09,-5.778119146597151e-09,-1.890483820639718e-09,-2.6191784205358555e-09,3.864208630611101e-09,6.04447489344544e-10,2.397964512772912e-09,1.1641048342922319e-09,1.1110454783565244e-09,4.678379757716677e-09,-7.006686739987873e-10,-6.191790870596732e-09,5.874985571638157e-10,-8.909475141625611e-10,-1.3170026278419882e-09,3.2759097959387178e-09,-1.0456431908243643e-09,-4.3828837703286557e-10,-2.3665123668688273e-09,-2.440365031160273e-09,2.2243455243640097e-09,0.9949586405338898,1.7616691859332214e-11,0.9949586372488516,0.9949586389427346,0.9949586381849133,-3.123440626924148e-09,-3.177590703382377e-09,-7.981747422851285e-10,0.9949586382089267)
