seed	12026030	poultation_size	100	mean	-0.9949586377934243	sigma	40.0
evals	RastrginProblem vlaue
    1	62036.488805902874446
 1000	25918.528943456956767
 2000	11257.384728440589242
 3000	4055.195748929332240
 4000	2601.379065016062668
 5000	1213.053678982710608
 6000	1142.540508348904950
 7000	988.904766730559800
 8000	477.865918772717009
 9000	443.215697984005999
10000	408.918744501367769
11000	481.507143390490853
12000	368.184738471804565
13000	458.348268899848051
14000	437.111116674156449
15000	460.354279355619610
16000	506.665995623336244
17000	455.126172266915717
18000	429.125558092969811
19000	427.080980096507915
20000	459.690414638966786
21000	398.923150133412719
22000	384.853382251144524
23000	416.516458761855461
24000	427.460412308987884
25000	410.936856425403903
26000	419.887885114604387
27000	413.221922106705790
28000	342.084406096714019
29000	294.134074834484068
30000	156.800856259245109
31000	78.558596844219707
32000	68.839122469334626
33000	49.127091325722589
34000	33.768373872520279
35000	28.000738521401686
36000	25.992212977685746
37000	24.220611166620049
38000	23.635542247071683
39000	23.146941673156036
40000	23.007847967946315
41000	22.943013744460444
42000	22.942218675889812
43000	22.900008057667769
44000	22.891065386433485
45000	22.888877850959545
46000	22.886001280622523
47000	22.885276089736784
48000	22.884418230188437
49000	22.884275311812907
50000	22.884138817209749
51000	22.884115243191253
52000	22.884093906447962
53000	22.884072421746222
54000	22.884061457628349
55000	22.884057153655469
56000	22.884055236389727
57000	22.884053828616000
58000	22.884053583008857
59000	22.884053376702433
60000	22.884053345550427
61000	22.884053320284295
62000	22.884053309834819
63000	22.884053283398714
64000	22.884053281628717
65000	22.884053277385910
66000	22.884053276324661
67000	22.884053275916102
68000	22.884053275564149
69000	22.884053275413763
70000	22.884053275351029
71000	22.884053275337401
72000	22.884053275333500
73000	22.884053275331269
74000	22.884053275328057
75000	22.884053275327322
76000	22.884053275326984
77000	22.884053275326757
77300	22.884053275326750
last result:	(-2.77669550255744e-09,-0.994958632588631,-1.2975125736540334e-09,-2.7553132898344105e-09,-0.994958638721304,0.9949586342538858,-1.9899122358735486,-0.9949586314020992,-7.942672536154935e-10,-0.9949586359409816,-0.9949586364150987,-1.3012433031140543e-09,3.5154122329280553e-09,0.9949586422921055,-0.9949586360813671,-3.5099651588677258e-09,-3.970599203624866e-09,0.9949586384890953,3.883092049597658e-09,-3.0380583612308115e-09,-0.99495862981532,0.9949586388652348,1.337221282321353e-09,2.813241926631476e-09,-2.8709297362745214e-09,9.935960040781118e-09,0.9949586442608671,-8.568517973472932e-09,0.9949586382568073,0.9949586339452864,-0.9949586385173241,2.3501841973020296e-09,-0.9949586413979179,-5.735331145147788e-10,0.9949586358063539,4.205000215411878e-09,-0.9949586403773019,-3.0484422696570243e-09,-0.9949586347273738,-6.926540001476131e-09)
