seed	12026028	poultation_size	100	mean	4.446246694400539e-10	sigma	40.0
evals	RastrginProblem vlaue
    1	101950.032314942771336
 1000	8409.440591866125033
 2000	2161.424588593259614
 3000	989.727454600630608
 4000	655.482617685099058
 5000	425.395757345658183
 6000	446.981815456600657
 7000	424.744431509802780
 8000	364.270050358866285
 9000	483.409985710513240
10000	425.352633996768702
11000	350.254195947699600
12000	301.160832213011133
13000	227.839706367352193
14000	124.151469215014131
15000	47.311262078047250
16000	25.566649595537552
17000	16.819232398730588
18000	15.741426890968688
19000	14.459560178712591
20000	14.033472489881804
21000	13.989886551901037
22000	13.944763455826177
23000	13.934996206353208
24000	13.930290836209146
25000	13.929871227514829
26000	13.929514205118965
27000	13.929466144106126
28000	13.929432196495579
29000	13.929429405966031
30000	13.929427560806966
31000	13.929427037618796
32000	13.929426862548151
33000	13.929426827587204
34000	13.929426805274774
35000	13.929426800877241
36000	13.929426800025093
37000	13.929426799545769
38000	13.929426799358140
39000	13.929426799325277
40000	13.929426799311464
41000	13.929426799308278
42000	13.929426799306871
43000	13.929426799306238
44000	13.929426799306123
44200	13.929426799306125
last result:	(-0.9949586392139874,0.9949586397874587,0.9949586342931729,9.320373447974016e-10,-0.9949586386345237,-0.9949586417652778,-3.301155395685043e-09,2.3708359090464033e-10,1.615318114736318e-09,-0.9949586400062499,-1.1513527598818237e-09,3.92340096107796e-10,0.994958636990315,3.3676367755205695e-09,1.4998814578727509e-09,0.9949586357223918,-0.9949586368634286,2.814907611962827e-09,-7.626832523918928e-10,3.0210808136310724e-09,-2.153274744338791e-09,-0.994958638214678,2.5249849703508107e-09,4.4208591804095294e-10,7.487795757830863e-10,-1.026016842511277e-09,-2.5340732127576557e-09,4.1807115265723845e-10,0.9949586372377479,-3.879611488666864e-10,6.588666811582352e-09,0.9949586355532644,-4.813394208924681e-09,2.125520773613832e-10,0.9949586381301794,-4.522313655624285e-09,0.99495863925916,-6.754541675793183e-10,1.1381840609178578e-09,-2.256195115204936e-09)
