seed	12026029	poultation_size	100	mean	-0.9949586371309378	sigma	40.0
evals	RastrginProblem vlaue
    1	66791.316053333081072
 1000	11533.079606501183662
 2000	3509.973978668612745
 3000	1086.652306432374417
 4000	685.349189990372565
 5000	486.862039871690968
 6000	426.590797669898450
 7000	397.840426748055279
 8000	409.860983343247653
 9000	380.908758104383082
10000	327.270666117989435
11000	251.028709579632078
12000	317.052788179621075
13000	79.419552047483293
14000	50.016197034968492
15000	20.371956165579427
16000	14.685081449597870
17000	12.207792005660071
18000	11.490393596283937
19000	11.072276479243596
20000	10.994916793372308
21000	10.960854226692513
22000	10.949307076449649
23000	10.946126474312701
24000	10.945371246800139
25000	10.944682210648791
26000	10.944616060294067
27000	10.944568721505517
28000	10.944555424038294
29000	10.944551557255709
30000	10.944550345912639
31000	10.944549829741739
32000	10.944549708048381
33000	10.944549641756296
34000	10.944549633516550
35000	10.944549629810927
36000	10.944549628563166
37000	10.944549628194064
38000	10.944549628085216
39000	10.944549628050272
40000	10.944549628033670
41000	10.944549628028303
42000	10.944549628026859
43000	10.944549628026360
44000	10.944549628026261
44200	10.944549628026262
last result:	(0.9949586410072135,-1.9260827488045e-09,-5.069619114960897e-10,0.9949586350456503,5.030429945793736e-09,-0.9949586360974597,0.9949586360777192,0.994958637050574,7.86702185905755e-10,1.9638898210218827e-09,0.9949586378631144,6.05369970372103e-09,4.30094150135662e-09,-1.1567693497501602e-09,-0.9949586373057544,0.9949586357582851,7.590888988470003e-10,1.9477486331595205e-09,-1.3924717369404787e-09,-2.7801847161066277e-09,2.5886611370554435e-09,-1.5305880156707874e-09,5.128342989710004e-09,0.9949586347265132,1.5594273650233768e-09,3.646610543426535e-09,3.0687462815726798e-09,-0.9949586379642923,-1.4420532801225292e-09,3.6727248301785258e-09,3.205906997772979e-09,2.0821453454224603e-09,2.766844791920534e-09,9.10032408593429e-10,-0.9949586376091546,-3.0388169809305404e-09,5.160215803017301e-10,-2.678364421128613e-09,-2.7973018458468076e-09,-3.3288735721228415e-09)
