seed	12026023	poultation_size	100	mean	3.0	sigma	40.0
evals	SchwefelProblem vlaue
    1	16899.516925092146266
 1000	16509.258946651418228
 2000	16591.734214181786228
 3000	16785.600618130916700
 4000	15783.360629522616364
 5000	15820.744705088056435
 6000	15029.317923115813755
 7000	14496.012719017542622
 8000	14367.614834075995532
 9000	14299.800706283860563
10000	14263.486198424945542
11000	14256.875583938413911
12000	14254.368322742593591
13000	14254.006419281846320
14000	14253.801583992983069
15000	14253.697313808812396
16000	14253.657764625248092
17000	14253.647699589235344
18000	14253.644047430883802
19000	14253.643089893172146
20000	14253.642576531357918
21000	14253.642468562284193
22000	14253.642432962968087
23000	14253.642428697785363
24000	14253.642426730593797
25000	14253.642425947038646
26000	14253.642425824895327
27000	14253.642425747604648
28000	14253.642425731821277
29000	14253.642425730331524
30000	14253.642425727502996
31000	14253.642425727219234
32000	14253.642425727102818
33000	14253.642425727062800
34000	14253.642425727048249
35000	14253.642425727044611
36000	14253.642425727044611
37000	14253.642425727042792
38000	14253.642425727042792
39000	14253.642425727044611
40000	14253.642425727042792
41000	14253.642425727042792
42000	14253.642425727042792
43000	14253.642425727042792
44000	14253.642425727042792
45000	14253.642425727042792
46000	14253.642425727042792
47000	14253.642425727042792
48000	14253.642425727042792
49000	14253.642425727042792
50000	14253.642425727044611
51000	14253.642425727042792
52000	14253.642425727042792
53000	14253.642425727042792
54000	14253.642425727042792
55000	14253.642425727042792
56000	14253.642425727042792
57000	14253.642425727042792
58000	14253.642425727042792
59000	14253.642425727042792
60000	14253.642425727042792
61000	14253.642425727042792
62000	14253.642425727042792
63000	14253.642425727042792
64000	14253.642425727042792
65000	14253.642425727042792
66000	14253.642425727042792
67000	14253.642425727042792
68000	14253.642425727042792
69000	14253.642425727042792
70000	14253.642425727042792
71000	14253.642425727042792
72000	14253.642425727042792
73000	14253.642425727042792
74000	14253.642425727042792
75000	14253.642425727042792
76000	14253.642425727042792
77000	14253.642425727042792
78000	14253.642425727042792
79000	14253.642425727042792
80000	14253.642425727042792
81000	14253.642425727042792
82000	14253.642425727042792
83000	14253.642425727042792
84000	14253.642425727042792
85000	14253.642425727042792
86000	14253.642425727042792
87000	14253.642425727042792
88000	14253.642425727042792
89000	14253.642425727042792
90000	14253.642425727042792
91000	14253.642425727042792
92000	14253.642425727042792
93000	14253.642425727042792
94000	14253.642425727042792
95000	14253.642425727042792
96000	14253.642425727042792
97000	14253.642425727042792
98000	14253.642425727042792
99000	14253.642425727042792
100000	14253.642425727042792
101000	14253.642425727042792
102000	14253.642425727042792
103000	14253.642425727042792
104000	14253.642425727042792
105000	14253.642425727042792
106000	14253.642425727042792
107000	14253.642425727042792
108000	14253.642425727042792
108100	14253.642425727042792
last result:	(65.5478651662444,65.54786568834177,65.54786607024681,65.54786518020664,-25.877417377694186,65.54786488054216,65.54786502409478,65.54786463598361,65.54786537678244,65.54786536782194,65.54786474399424,-25.877417137014962,65.54786566948832,65.5478655241087,65.54786481468851,65.54786475792173,65.54786538427389,65.54786496586922,-124.82935584265358,65.5478647678782,65.54786537546407,65.54786481524275,65.54786542132666,65.54786515400224,65.54786598208943,-25.8774175850394,65.5478659662807,-25.87741767229403,-124.82935615409522,65.54786503261448,65.54786433284838,65.54786539622545,65.54786523307017,65.54786510543016,65.5478658220626,65.54786432706915,65.54786554693892,65.54786546758119,65.54786538092023,65.54786483250827)
