seed	12026022	poultation_size	100	mean	-25.877417385759244	sigma	40.0
evals	SchwefelProblem vlaue
    1	17002.471509912360489
 1000	16669.524549643319915
 2000	16249.704448503001913
 3000	15985.372350168863704
 4000	15891.440068794503532
 5000	15262.704504598779749
 6000	15262.523289874374314
 7000	14854.561204914127302
 8000	14388.594956237966471
 9000	14310.181253807531903
10000	14165.142662460486463
11000	14107.347995458345395
12000	14077.613186884114839
13000	14070.664065431710696
14000	14060.435725181754606
15000	14059.029705507928156
16000	14057.510342163383029
17000	14056.719914832094219
18000	14056.383999236299132
19000	14056.333267707243067
20000	14056.306137702866181
21000	14056.240018417189276
22000	14056.236551939062338
23000	14056.235424120168318
24000	14056.233085481921080
25000	14056.230519166503655
26000	14056.230020502001935
27000	14056.229795039273085
28000	14056.229745741846273
29000	14056.229736707791744
30000	14056.229699213678032
31000	14056.229691073669528
32000	14056.229686063014015
33000	14056.229682632323602
34000	14056.229682143075479
35000	14056.229681475209873
36000	14056.229681347520454
37000	14056.229681252885712
38000	14056.229681228276604
39000	14056.229681212487776
40000	14056.229681210625131
41000	14056.229681207923932
42000	14056.229681206812529
43000	14056.229681206459645
44000	14056.229681206194073
45000	14056.229681206135865
46000	14056.229681206099485
47000	14056.229681206090390
48000	14056.229681206088571
49000	14056.229681206086752
50000	14056.229681206084933
51000	14056.229681206084933
52000	14056.229681206084933
53000	14056.229681206084933
54000	14056.229681206083114
55000	14056.229681206083114
56000	14056.229681206083114
57000	14056.229681206083114
58000	14056.229681206083114
59000	14056.229681206083114
60000	14056.229681206083114
61000	14056.229681206083114
62000	14056.229681206083114
63000	14056.229681206083114
64000	14056.229681206083114
65000	14056.229681206083114
66000	14056.229681206083114
67000	14056.229681206083114
68000	14056.229681206083114
69000	14056.229681206083114
70000	14056.229681206083114
71000	14056.229681206083114
72000	14056.229681206083114
73000	14056.229681206083114
74000	14056.229681206083114
75000	14056.229681206083114
76000	14056.229681206083114
77000	14056.229681206083114
78000	14056.229681206083114
79000	14056.229681206083114
80000	14056.229681206083114
81000	14056.229681206083114
82000	14056.229681206083114
83000	14056.229681206083114
84000	14056.229681206083114
85000	14056.229681206083114
86000	14056.229681206083114
87000	14056.229681206083114
88000	14056.229681206083114
89000	14056.229681206083114
90000	14056.229681206083114
91000	14056.229681206083114
92000	14056.229681206083114
93000	14056.229681206083114
94000	14056.229681206083114
95000	14056.229681206083114
96000	14056.229681206083114
97000	14056.229681206083114
98000	14056.229681206083114
99000	14056.229681206083114
100000	14056.229681206083114
101000	14056.229681206083114
102000	14056.229681206083114
103000	14056.229681206083114
104000	14056.229681206083114
105000	14056.229681206083114
106000	14056.229681206083114
107000	14056.229681206083114
108000	14056.229681206083114
109000	14056.229681206083114
110000	14056.229681206083114
111000	14056.229681206083114
112000	14056.229681206083114
113000	14056.229681206083114
114000	14056.229681206083114
115000	14056.229681206083114
116000	14056.229681206083114
117000	14056.229681206083114
118000	14056.229681206083114
119000	14056.229681206083114
120000	14056.229681206083114
121000	14056.229681206083114
122000	14056.229681206083114
123000	14056.229681206083114
124000	14056.229681206083114
125000	14056.229681206083114
126000	14056.229681206083114
127000	14056.229681206083114
128000	14056.229681206083114
129000	14056.229681206084933
130000	14056.229681206083114
131000	14056.229681206083114
132000	14056.229681206083114
133000	14056.229681206083114
134000	14056.229681206083114
135000	14056.229681206083114
136000	14056.229681206083114
137000	14056.229681206083114
138000	14056.229681206083114
139000	14056.229681206083114
140000	14056.229681206083114
141000	14056.229681206083114
142000	14056.229681206083114
143000	14056.229681206083114
144000	14056.229681206083114
145000	14056.229681206083114
146000	14056.229681206083114
147000	14056.229681206083114
148000	14056.229681206083114
149000	14056.229681206083114
150000	14056.229681206083114
151000	14056.229681206083114
152000	14056.229681206083114
153000	14056.229681206083114
154000	14056.229681206083114
155000	14056.229681206083114
156000	14056.229681206083114
157000	14056.229681206083114
158000	14056.229681206083114
158700	14056.229681206083114
last result:	(-124.8293563143498,-25.87741793012057,65.54786497787688,-124.82935631781028,65.54786540947855,65.5478655072284,65.54786473174896,65.5478653479625,65.547864750703,65.54786460486152,65.54786537620093,65.54786539261501,-124.82935651104677,65.54786535082984,65.54786593442996,65.5478655453175,-25.877417445137457,-124.82935600354209,65.54786516840235,65.54786547392479,65.54786571776125,65.54786495232906,65.54786506115107,65.54786570227292,65.54786442009225,65.54786509518567,65.54786523264357,65.54786419368736,-25.8774182057705,65.54786528500371,65.54786499028151,65.54786516101667,65.54786564064767,-25.87741835855581,-25.877417517005178,65.5478647957408,-124.82935660765966,-124.82935663911475,65.54786432911749,65.547865431753)
