seed	12026028	poultation_size	100	mean	3.0	sigma	40.0
evals	SchwefelProblem vlaue
    1	17166.175878784197266
 1000	16540.389641222434875
 2000	16592.904822563865309
 3000	16680.817168092336942
 4000	16670.292161002173088
 5000	16236.272710905248459
 6000	16038.924865564746142
 7000	16417.869188278025831
 8000	15834.090383386434041
 9000	15357.872135657009494
10000	14755.695415178994153
11000	14669.732976132383556
12000	14661.331142391150934
13000	14587.041008958925886
14000	14524.686610745367943
15000	14484.265787697193446
16000	14466.286117223953624
17000	14458.653290801241383
18000	14455.777267178134935
19000	14453.139650714918389
20000	14452.213232840149431
21000	14452.028467284546423
22000	14451.796737057327846
23000	14451.736963938472400
24000	14451.692992282798514
25000	14451.694998971724999
26000	14451.681834527666069
27000	14451.679952233975200
28000	14451.677981347835157
29000	14451.677838686149698
30000	14451.677573572873371
31000	14451.677462862835455
32000	14451.677426203641517
33000	14451.677373001617525
34000	14451.677355419495143
35000	14451.677346853359268
36000	14451.677344313951835
37000	14451.677342408342156
38000	14451.677341684984640
39000	14451.677341336209793
40000	14451.677341186548801
41000	14451.677341147542393
42000	14451.677341116990647
43000	14451.677341089760375
44000	14451.677341078013342
45000	14451.677341076830999
46000	14451.677341075104778
47000	14451.677341074157084
48000	14451.677341073023854
49000	14451.677341072991112
50000	14451.677341072747367
51000	14451.677341072685522
52000	14451.677341072669151
53000	14451.677341072660056
54000	14451.677341072652780
55000	14451.677341072649142
56000	14451.677341072647323
57000	14451.677341072647323
58000	14451.677341072647323
59000	14451.677341072647323
60000	14451.677341072647323
61000	14451.677341072647323
62000	14451.677341072647323
63000	14451.677341072647323
64000	14451.677341072649142
65000	14451.677341072647323
66000	14451.677341072647323
67000	14451.677341072647323
68000	14451.677341072647323
69000	14451.677341072647323
70000	14451.677341072647323
71000	14451.677341072647323
72000	14451.677341072647323
73000	14451.677341072647323
73600	14451.677341072647323
last result:	(65.5478655002281,-124.82935683839275,65.5478648476702,65.54786550500772,65.54786454713009,65.54786529507214,-25.8774171579738,65.54786566535923,65.5478650163477,65.54786498657892,-25.8774170492743,65.54786414407974,65.5478647002846,65.54786491450612,65.54786591932996,65.54786485366496,65.54786507624361,65.54786487491312,65.54786534555856,-25.8774176092716,65.5478657824827,65.54786465590452,65.54786403191582,65.5478653226207,65.54786556312004,65.54786608720194,-25.877417627707207,65.54786545300591,-25.87741713030163,65.54786488760203,65.54786545474911,-25.877417555183644,65.5478649765925,65.5478648964079,65.54786508494465,5.239199002298626,65.54786565731864,65.5478647604906,65.54786521594407,65.54786482697048)
