seed	12026024	poultation_size	100	mean	3.0	sigma	40.0
evals	SchwefelProblem vlaue
    1	16435.888235946047644
 1000	16491.195897946323385
 2000	16282.693189074554539
 3000	16449.878484987828415
 4000	16196.309433349008032
 5000	15487.866743014052190
 6000	15004.092191418334551
 7000	15046.108184211730986
 8000	14655.153513506033050
 9000	14456.718040740335709
10000	14397.886345327544404
11000	14379.677691193173814
12000	14375.920702748051553
13000	14372.869431961087685
14000	14372.339668096747118
15000	14372.196360637837643
16000	14372.146073363126561
17000	14372.128779846154430
18000	14372.126030361290759
19000	14372.125090501396699
20000	14372.124941309448332
21000	14372.124834661923160
22000	14372.124817018293470
23000	14372.124811868134202
24000	14372.124809759112395
25000	14372.124809126875334
26000	14372.124808904953170
27000	14372.124808873977599
28000	14372.124808858055985
29000	14372.124808853397553
30000	14372.124808852200658
31000	14372.124808851864145
32000	14372.124808851789567
33000	14372.124808851776834
34000	14372.124808851769558
35000	14372.124808851767739
36000	14372.124808851767739
37000	14372.124808851765920
38000	14372.124808851765920
39000	14372.124808851767739
40000	14372.124808851765920
41000	14372.124808851765920
42000	14372.124808851765920
43000	14372.124808851765920
44000	14372.124808851765920
45000	14372.124808851765920
46000	14372.124808851765920
47000	14372.124808851765920
48000	14372.124808851765920
49000	14372.124808851765920
50000	14372.124808851765920
51000	14372.124808851765920
52000	14372.124808851765920
53000	14372.124808851765920
54000	14372.124808851767739
55000	14372.124808851767739
56000	14372.124808851765920
57000	14372.124808851765920
58000	14372.124808851765920
59000	14372.124808851765920
60000	14372.124808851765920
61000	14372.124808851765920
62000	14372.124808851767739
63000	14372.124808851765920
64000	14372.124808851765920
65000	14372.124808851765920
66000	14372.124808851765920
67000	14372.124808851767739
68000	14372.124808851767739
69000	14372.124808851765920
70000	14372.124808851765920
71000	14372.124808851765920
72000	14372.124808851765920
73000	14372.124808851765920
74000	14372.124808851765920
75000	14372.124808851765920
76000	14372.124808851765920
77000	14372.124808851765920
78000	14372.124808851765920
79000	14372.124808851765920
80000	14372.124808851765920
81000	14372.124808851765920
82000	14372.124808851765920
83000	14372.124808851765920
84000	14372.124808851765920
85000	14372.124808851765920
86000	14372.124808851765920
87000	14372.124808851765920
88000	14372.124808851765920
89000	14372.124808851765920
90000	14372.124808851765920
91000	14372.124808851765920
92000	14372.124808851765920
93000	14372.124808851765920
94000	14372.124808851765920
95000	14372.124808851765920
96000	14372.124808851765920
97000	14372.124808851765920
98000	14372.124808851765920
99000	14372.124808851765920
100000	14372.124808851765920
101000	14372.124808851765920
102000	14372.124808851765920
103000	14372.124808851765920
104000	14372.124808851765920
105000	14372.124808851765920
106000	14372.124808851765920
107000	14372.124808851765920
108000	14372.124808851765920
109000	14372.124808851765920
110000	14372.124808851765920
111000	14372.124808851767739
112000	14372.124808851765920
113000	14372.124808851765920
114000	14372.124808851765920
115000	14372.124808851765920
116000	14372.124808851765920
117000	14372.124808851765920
118000	14372.124808851765920
119000	14372.124808851767739
120000	14372.124808851765920
121000	14372.124808851765920
122000	14372.124808851765920
123000	14372.124808851767739
124000	14372.124808851765920
125000	14372.124808851765920
126000	14372.124808851765920
127000	14372.124808851765920
128000	14372.124808851765920
129000	14372.124808851765920
130000	14372.124808851765920
131000	14372.124808851765920
132000	14372.124808851765920
133000	14372.124808851765920
134000	14372.124808851765920
135000	14372.124808851765920
136000	14372.124808851767739
137000	14372.124808851765920
138000	14372.124808851765920
139000	14372.124808851765920
140000	14372.124808851765920
141000	14372.124808851765920
142000	14372.124808851765920
143000	14372.124808851765920
144000	14372.124808851765920
145000	14372.124808851765920
146000	14372.124808851765920
147000	14372.124808851765920
148000	14372.124808851765920
149000	14372.124808851765920
150000	14372.124808851765920
151000	14372.124808851765920
152000	14372.124808851765920
153000	14372.124808851765920
154000	14372.124808851765920
155000	14372.124808851765920
156000	14372.124808851765920
157000	14372.124808851765920
158000	14372.124808851765920
159000	14372.124808851765920
160000	14372.124808851765920
161000	14372.124808851765920
162000	14372.124808851765920
163000	14372.124808851765920
164000	14372.124808851765920
165000	14372.124808851765920
166000	14372.124808851765920
167000	14372.124808851765920
168000	14372.124808851765920
169000	14372.124808851765920
170000	14372.124808851765920
171000	14372.124808851765920
172000	14372.124808851765920
173000	14372.124808851765920
174000	14372.124808851765920
175000	14372.124808851765920
176000	14372.124808851765920
177000	14372.124808851765920
178000	14372.124808851765920
179000	14372.124808851765920
180000	14372.124808851765920
181000	14372.124808851765920
182000	14372.124808851765920
182400	14372.124808851765920
last result:	(65.54786420297067,65.54786486008271,65.54786566353138,65.54786465397116,65.54786464246789,65.54786536537576,65.54786519788465,65.54786562217505,-25.87741787715198,65.54786534925907,65.54786480454965,-25.87741737888435,65.54786500173303,65.54786386042713,65.54786541653463,65.54786578362939,65.54786532708576,65.54786483364356,65.54786431987206,65.54786506837928,-25.877417326466308,65.54786490212987,65.54786449191234,65.54786539662466,65.5478645341874,-25.877417044965057,65.54786484036062,65.5478655512378,65.54786486699345,65.54786432483921,65.54786492746246,65.54786552899589,65.54786564070056,65.54786485023232,65.54786482677524,65.54786564179464,65.54786515128575,65.54786553791745,65.54786412585842,65.54786588251517)
