seed	12026030	poultation_size	100	mean	7.684054865909952e-09	sigma	40.0
evals	SphereProblem vlaue
    1	61959.792257703906216
 1000	17683.677674424208817
 2000	5184.809026699007518
 3000	1192.241628272838625
 4000	308.874820688228510
 5000	93.724748406999353
 6000	33.911073505019822
 7000	16.517799102133360
 8000	2.628471502108592
 9000	1.256794026031664
10000	0.364652833799719
11000	0.145574914984505
12000	0.023684676882204
13000	0.010281971383910
14000	0.001475408209332
15000	0.000643382387756
16000	0.000226696950576
17000	0.000054761397890
18000	0.000017395605989
19000	0.000004065917616
20000	0.000001661657544
21000	0.000000562463353
22000	0.000000173771740
23000	0.000000047072768
24000	0.000000009059646
25000	0.000000001687178
26000	0.000000000740852
27000	0.000000000217331
28000	0.000000000060089
29000	0.000000000025099
30000	0.000000000009413
31000	0.000000000001123
32000	0.000000000000303
33000	0.000000000000091
33600	0.000000000000033
last result:	(-4.260859417855298e-08,-7.042380124733349e-09,1.4744318181984554e-08,2.7715569220388477e-08,-5.089373879123702e-09,-1.5162253143853698e-08,1.7962069260726182e-08,-2.0481647168748095e-08,-5.8422125644109514e-09,-5.0216567136738874e-08,2.111123718297794e-09,-5.1701190497673806e-08,5.6502619485061284e-09,-1.657813828357539e-08,6.33526496467852e-08,5.14399013472438e-09,1.4334114926320453e-08,-9.403965587637091e-09,1.7326328923829316e-08,-5.730398542743497e-08,-4.956629364036469e-08,-3.480900898840831e-08,3.240623009332897e-08,-1.7568721675181828e-08,-3.5071520050897544e-09,2.0394837387534457e-08,-3.160476768323908e-08,2.6488217485662055e-08,1.4349614669540454e-09,-4.4244150092878606e-09,1.0972678319483568e-08,2.093395900214863e-08,1.255155304863187e-08,1.3469779425258297e-08,-4.317702957039874e-09,6.288082489028325e-08,-2.001104624104402e-08,-1.2661532084179533e-08,-2.0850798552913926e-08,-5.11045659442306e-08)
