seed	12026021	poultation_size	100	mean	3.0	sigma	40.0
evals	SphereProblem vlaue
    1	85394.949528548764647
 1000	17289.163116454343253
 2000	2634.049527086959188
 3000	1004.420906275051379
 4000	437.432993962463229
 5000	107.117513332815037
 6000	25.007832973703486
 7000	6.786836066720541
 8000	1.332523349420464
 9000	0.204165099484271
10000	0.098552298540079
11000	0.021581334344571
12000	0.007626607755953
13000	0.002381632548259
14000	0.000620355262248
15000	0.000333561558363
16000	0.000038366119158
17000	0.000019563504741
18000	0.000005428197504
19000	0.000000607921581
20000	0.000000160663912
21000	0.000000039456106
22000	0.000000008413774
23000	0.000000002349572
24000	0.000000000483680
25000	0.000000000132144
26000	0.000000000064533
27000	0.000000000013510
28000	0.000000000007486
29000	0.000000000001200
30000	0.000000000000485
31000	0.000000000000080
31600	0.000000000000065
last result:	(5.550178839956365e-10,-1.8353774118098833e-08,1.028638123510648e-08,7.619770675675993e-09,-3.22800215610521e-08,9.274485136194463e-08,2.2922763020880156e-08,2.4261941185828196e-08,1.8348730648063195e-08,-4.836887921856895e-08,5.119112603920014e-08,4.084194679446438e-08,3.483873929728169e-08,-5.8557870573043205e-08,2.797324376531112e-08,4.650574071100626e-08,9.762418579480673e-08,4.595089369949788e-08,1.6390317877706666e-08,-5.154101723290221e-08,1.534537697241737e-08,-9.610270232570116e-10,-7.854001772170515e-08,5.711652178305889e-09,2.2915931647360335e-08,-4.372840868709006e-08,-4.468931489738747e-08,5.139293145211796e-09,-6.325770791319814e-09,4.529029236432415e-08,7.624494309777934e-08,-1.1775587574714511e-08,-2.4427013224488198e-08,3.5174345584330855e-08,2.7155954744028186e-08,1.0998243654482169e-08,-1.2267595585062342e-08,-5.3342915253421755e-09,4.547415868840901e-09,5.5642679509612864e-08)
